Sample_ID,TTC9B,C4orf3,ING5,GNG7,LIN9,RNF167,TCF7,EN2,MAPKAPK3,AHSG,LSM10,DAD1,UAP1L1,PDCD1,REN,ITGB6,RFTN1,ATP5F1C,LRP8,DUSP1,CNIH3,DDX60L,HPS1,IL33,HCFC1R1,STXBP2,UGT2B15,TMEM184C,ATN1,TMEM119,FREM1,AADAC,L3MBTL2,RFLNA,BRCA2,ACTL7B,MRPS6,ZC3H3,POP4,TPO,PCDHA7,COG2,BRICD5,ATXN3L,PYROXD2,GPR68,PKD2L1,ROBO4,ZNF197,TTC1,FAM118A,COL7A1,ZNF10,PGPEP1,SIGIRR,FAM187B,CRIP2,ANXA13,ELOC,RNF148,TNPO1,CCR6,MFSD10,NME8,TCF12,PDCD10,RUNDC3A,MAP3K19,AATF,HOXD8,C1QTNF5,SCGB2A1,HLA-DRB5,TDRD1,ZXDC,STK19,ISX,ARSF,CPEB4,CCR9,DRD2,SLC25A33,NEDD8,SIPA1L1,CTNND2,PCBP4,KANSL3,RCCD1,FABP6,MOB1A,NEUROD4,MAGEB6,ADSL,PDE4D,C11orf49,ENOSF1,AKAP8,FAM199X,FBXL16,MANSC1
ACH-000535,0.101451521,0.134276881,0.182196319,0.022386531,-0.441369126,0.004109341,-0.371175872,-0.040023292,-0.001273924,0.114658328,-0.782079505,-2.001262369,-0.118726602,-0.006842132,-0.077372536,-0.090890968,-0.002278234,-0.756902292,-0.107422257,0.136683874,0.07400714,0.126698266,-0.049093843,0.133242988,-0.330348953,-0.177772907,-0.082102659,0.117855313,-0.074182402,-0.002360926,0.125282609,0.071381921,0.029126131,-0.107061816,-0.326784662,-0.029481199,-0.434341961,-0.437656787,-0.73611256,0.043235322,-0.086398916,-0.567698466,0.006688558,0.171711423,0.011574183,-0.155740925,-0.041587818,0.036736529,0.05240794,-0.663732211,0.075206951,-0.066506912,-0.150192519,-0.298736703,-0.054400018,0.134527373,0.058548057,-0.078526038,-1.169125806,0.06571221,-0.480809039,0.085169704,0.077364627,-0.021940726,0.233089508,0.331473081,-0.07525503,-0.157084094,-0.791823917,0.047102769,-0.096562314,-0.321464912,0.021383475,0.052780217,-0.095767163,-0.039802508,0.184001433,0.056713148,0.051241384,0.086142225,0.057477996,-0.297688368,-1.467769099,0.101415557,0.067450614,0.039411048,-1.323239727,0.028609303,-0.021178508,0.138328658,0.059133426,0.088066815,-0.374453039,-0.082824017,0.088375834,0.100995708,-0.088579301,0.144095631,0.114866285,-0.036768787
ACH-001402,-0.167511564,0.183230698,-0.052358607,-0.0456916,-0.559911353,-0.065898544,-0.281276581,0.067431546,0.024845262,0.079566937,-0.56509172,-1.698726925,-0.041667861,0.006724755,0.021020793,-0.043788506,-0.189732593,-1.205032256,-0.077232571,-0.132905137,0.174891781,0.09076536,-0.073550124,0.126177819,-0.35447358,-0.089246594,0.141733634,0.151095436,-0.152765689,-0.326487187,0.089139876,-0.008225929,-0.127194243,-0.157831899,-0.277629589,-0.09353299,-0.901031879,-0.296436955,-0.686627228,0.086586348,-0.133680584,-0.382296861,-0.007521947,0.087197453,0.050425693,-0.162997947,-0.080978811,0.12200384,0.03466855,-0.84505047,0.030562326,-0.041618307,-0.24546859,-0.258529854,0.055472538,0.004959191,0.099712237,-0.115307797,-1.408278802,0.022261656,-0.134156282,0.001498221,0.045640461,-0.034695041,0.003366185,0.220412447,-0.140015774,-0.173360308,-0.947692387,0.123196949,0.002502793,-0.134199806,0.228797272,-0.00528812,-0.03198575,-0.024600467,-0.10450051,-0.027306305,0.047441651,0.023350795,0.096104245,-0.364086026,-1.635527982,0.080637767,-0.237444429,-0.147294556,-0.782357678,0.125082208,-0.060333358,-0.015818354,0.047538865,-0.107816455,-1.274706328,-0.087514853,0.211878979,0.151726495,-0.044753098,-0.12201978,-0.109011375,-0.213630752
ACH-000862,-0.028182238,0.113388732,0.005140897,0.118290098,-0.698102939,0.034052661,-0.289619453,-0.193584505,0.023286323,-0.028436612,-0.337491605,-1.936154666,0.166180152,-0.006917278,-0.106589076,-0.097609634,0.002434823,-0.860319942,-0.267099376,0.021492982,0.040142963,0.065324085,-0.198981998,0.109922949,-0.250873617,-0.090745336,-0.066871044,-0.305527354,0.008654165,-0.047467221,0.099928145,0.132448307,-0.02833404,-0.263925471,-0.692547563,-0.219275082,-0.571282182,-0.193104142,-0.663126035,-0.098983561,-0.063803291,-0.476748311,0.018669041,0.19952009,-0.025934918,-0.095843194,-0.135239219,0.138194448,0.02836755,-0.947636681,0.019619863,-0.114242129,0.030197261,-0.330904143,0.114064025,-0.013123171,0.181634746,-0.188950859,-0.950383259,-0.012178683,-0.426801092,0.128728948,0.066978869,-0.245121036,0.071400983,0.136644959,-0.078695095,-0.24877857,-1.043836087,-0.032032714,-0.157593796,-0.21134701,0.038954353,-0.04993115,-0.024182911,-0.055361372,0.183802673,0.147280525,0.080796314,0.083286754,0.037201614,-0.188905419,-1.40736055,-0.089435168,-0.016187205,-0.315826187,-1.005321164,0.084072689,-0.002562295,-0.164977361,0.091512618,-0.014411079,-0.264480102,-0.044790685,0.040799017,0.16607576,0.069310319,0.062641879,-0.063617239,-0.14031228
ACH-000545,0.0399607,0.047492995,0.215912743,-0.090471633,-0.422894059,0.14597049,-0.198711806,-0.024076993,0.153883659,0.122161643,-0.649150268,-2.036565359,-0.042333973,0.158871397,-0.055611417,-0.06518374,0.080666024,-0.444361918,-0.121869984,-0.037070973,0.049259595,0.128859775,-0.145199712,0.036375565,-0.17792766,0.008501901,-0.146974434,-0.085716372,-0.110825648,-0.072156622,-0.049212305,0.115734672,0.048795268,0.121567959,-0.308595333,0.243217104,-0.724992126,-0.255804364,-1.113558059,-0.0317121,-0.061858821,-0.376913943,-0.112241514,0.189208869,0.035708484,-0.041727171,0.038161106,0.137751341,0.148941116,-0.86253583,0.060843567,-0.12501441,0.07175571,-0.295898789,0.0987604,0.086219381,0.108145089,-0.126668991,-1.331235419,-0.014673431,-0.458027375,0.127121528,-0.034778736,-0.071539576,-0.020883994,0.359471056,0.028167717,-0.217934481,-0.898698162,-0.024837219,-0.126014065,-0.325591076,0.122932781,0.031489155,-0.201851555,0.02358014,0.110379543,0.127864726,0.063096339,0.061264178,-0.001854984,-0.180094465,-1.292055301,0.071380346,0.058578421,-0.017675163,-1.187635183,0.0490078,0.053563638,-0.113191759,0.065281275,0.058720693,-0.562301064,-0.173255321,0.003677086,0.197635686,-0.082006749,-0.037253269,0.042242866,0.008529679
ACH-000851,0.051125396,0.029569868,0.163771055,-0.005692166,-0.806036949,-0.112389247,-0.400516282,-0.077113769,0.118069695,0.090747774,-0.445244493,-2.107205054,0.010540282,0.120581641,0.121002435,-0.094449632,0.051503655,-0.92472364,-0.235193937,0.088581005,0.085329241,0.071391906,-0.119361221,0.181385598,-0.229405781,-0.018461242,-0.086904305,-0.060581568,-0.113156621,-0.153515492,-0.027776067,0.139056844,0.123221272,-0.278661079,-0.304828756,0.175244606,-0.582997756,-0.191564385,-0.69778666,0.081729661,-0.079959962,-0.325875023,-0.04011316,0.169200814,-0.086473661,-0.097041082,-0.103642625,0.026880124,0.074493176,-1.047077634,0.203832471,-0.052552094,-0.075366041,-0.416318818,0.048101936,-0.103480874,-0.089955246,0.068956928,-1.093607985,0.046321489,-0.227044276,0.128559726,-0.084591198,0.079998647,0.029834468,-0.077663513,-0.093175384,0.06040321,-0.770001641,0.041471484,-0.101912619,-0.082394627,0.104427459,-0.034553312,0.127518452,0.005873558,-0.040325152,0.086758348,0.03394818,0.024870909,-0.011948753,-0.298115522,-1.646387971,0.092022606,0.096167578,0.041953746,-1.296574774,0.178917404,-0.019488911,0.046671558,0.000482214,-0.132928977,-1.176480838,-0.145691655,-0.172106361,0.051419091,-0.016330086,0.121448885,-0.274707307,-0.07465661
ACH-000485,-0.106945097,-0.149588638,-0.017314295,-0.056067157,-0.398936444,0.046547997,-0.145520892,0.029981145,-0.106364682,-0.075637918,-1.041450661,-1.929051761,-0.104009049,0.044922267,-0.083556088,-0.009338199,-0.219032157,-0.524608851,-0.073848302,0.019740654,0.150562436,0.112782773,-0.165588282,0.282031916,-0.307686508,-0.0407181,0.141372851,-0.120807556,-0.084428854,-0.169060623,-0.012747246,0.139560306,0.1509784,-0.303686467,-0.225949536,-0.069121529,-0.259864067,-0.283273346,-0.851757564,-0.041833165,-0.081615045,-0.344084488,-0.113067909,0.189215148,-0.103233847,0.016838663,-0.116566256,-0.055036805,0.035694249,-0.822616593,0.099979277,-0.04902955,-0.182944201,-0.259939819,0.026714934,0.015556425,-0.08918838,-0.41683886,-1.157259503,0.111327786,-0.089140096,0.074958234,-0.089290259,0.041412624,0.104480157,-0.062014687,-0.002832453,0.006986399,-0.980978659,-0.131610617,0.018772095,-0.125780267,0.004166392,-0.012964908,-0.079789035,0.07130061,0.099604376,0.139586854,0.01600716,0.133339711,-0.068291496,-0.03475461,-1.417052286,0.090205434,-0.018618989,-0.016899903,-0.442034893,0.120640157,0.119148109,-0.027979744,0.057666549,0.017959096,-0.89420755,0.164066145,-0.163158063,0.122681026,0.065268992,0.109533415,-0.038176317,0.02018416
ACH-002459,-0.078173596,0.095239047,-0.030895268,-0.05459551,-0.662889484,0.017874688,-0.370262317,-0.107206908,0.064868536,0.116015584,-0.729942241,-2.20250767,-0.006709748,-0.018103706,-0.057487131,0.154515726,0.117498361,-0.797916181,0.039286085,0.052077728,0.10519767,0.02609197,-0.11599339,0.224323386,-0.701802777,-0.027691845,-0.088412491,-0.149944967,-0.276688671,-0.141626982,-0.053707783,-0.071505629,-0.166549669,-0.015822652,-0.455013829,-0.005500687,-0.398549095,-0.560489435,-0.781428808,0.134072615,-0.106227029,-0.115005065,-0.171848913,0.114783722,0.029945579,0.209269285,-0.104192083,0.042800685,-0.028951288,-0.409909125,-0.093015011,-0.079197456,-0.18564518,-0.286948239,0.112862433,0.068184059,0.044580029,0.033141599,-0.812834786,0.075759097,-0.087167719,0.035994598,-0.074959235,-0.084692159,0.059218564,0.253223825,-0.163950172,-0.205127797,-1.117892465,0.151428776,-0.0212515,-0.118649573,0.163178992,0.110776754,-0.036427922,0.008929954,0.14647207,0.302576214,-0.054595704,0.142385088,0.076325803,-0.288850448,-1.804285374,-0.047834064,-0.06945138,-0.07849547,-1.311743989,-0.037644886,0.039868102,-0.13073802,0.012684806,-0.0499522,-0.734564718,-0.047204256,0.06436682,0.138244368,0.033804896,0.037368149,-0.298673314,-0.030673794
ACH-001511,0.077152769,-0.117279789,0.023040644,0.253769281,-0.330691044,0.106547731,-0.437136612,0.131579278,0.024995804,-0.008745214,-0.768901856,-1.913733042,0.038680462,-0.038695885,-0.067092955,0.058744543,0.011800965,-0.349301536,-0.251978414,0.021599283,-0.079748437,0.115706231,-0.049633561,0.152803308,-0.29885244,-0.081628109,0.089832086,-0.042136867,-0.134345175,-0.159703414,0.041379234,0.21700167,0.028103212,-0.074895053,-0.168189304,0.204438085,-0.081608519,-0.306530221,-1.135171505,0.079247125,-0.298004109,-0.389261537,0.138723998,0.216013543,0.027791801,0.116804999,0.011413846,-0.045787937,-0.128794473,-1.106495617,-0.110938161,-0.041719012,0.039478221,-0.469621457,0.051574602,-0.042052718,-0.009401279,-0.221231789,-0.904574645,0.063466109,-0.285890712,-0.019774424,-0.011762424,-0.074035721,0.167335443,0.139023676,0.033241431,0.029979487,-1.307578488,0.135562239,-0.304756541,-0.260652748,0.226498231,-0.007583579,-0.052902863,-0.010585532,-0.018848526,0.027945167,0.129152531,-0.024786371,-0.03568926,-0.232197543,-1.77674952,-0.010322699,0.033235093,0.041108122,-0.550620259,0.054977622,0.012792149,-0.05065857,0.100952372,-0.032866646,-0.105625681,0.167980908,-0.065181875,0.312302303,0.093482074,-0.036226963,0.079581731,-0.236784968
ACH-001151,0.00116644,0.098536532,0.00286717,0.088808066,-0.644606255,0.054221021,-0.258589781,0.168194416,0.034071341,0.070928489,-0.903458573,-2.086018378,-0.158738657,0.034216969,-0.179495785,-0.010473641,0.008208177,-0.339617192,-0.105873298,-0.031896552,0.067967681,0.065097125,-0.104646048,0.075409696,-0.310738914,-0.044867221,-0.154921875,0.017814457,-0.041392173,-0.193807035,0.065737668,0.127718711,-0.15667964,-0.076161982,-0.490846473,-0.000853437,-0.116734796,-0.317239498,-1.087832542,0.042321871,-0.027086027,-0.672889729,-0.048668632,0.162314383,-0.049702251,0.067840629,-0.026470466,0.127039842,-0.071392869,-0.850943854,0.079796616,-0.251969447,0.034250578,-0.281206193,-0.013572826,-0.035938058,-0.047131947,-0.095816215,-1.019682951,0.07880228,-0.359382136,0.07813027,0.082166383,-0.04409449,0.044758073,0.46831115,-0.187451877,-0.167774162,-0.825028749,-0.029625169,-0.138256932,-0.12535357,0.126241955,0.017150172,0.091589575,-0.106025421,0.149158057,0.087282015,0.043636594,-0.006934406,-0.041773679,-0.200664329,-1.961902064,0.122228624,-0.092275243,-0.025228713,-1.120819896,0.077586031,0.136386965,-0.198789632,0.052633654,-0.112671205,-1.367331483,0.030125205,-0.02138415,0.091251945,-0.087293545,0.038799098,-0.07633688,-0.066867904
ACH-001433,-0.164926308,0.068056226,0.001300882,0.107790826,-0.244117944,-0.122137187,-0.439424794,0.043294974,0.024163392,-0.006314063,-1.057002711,-1.897111511,0.051691832,-0.002741059,-0.086813503,-0.025936886,-0.14364997,-0.486215919,0.005677364,-0.135032569,0.07231371,0.048274837,-0.143228679,0.089875147,-0.222150618,-0.052971739,-0.405901754,0.053250051,0.091841987,-0.131931978,-0.017564793,0.029652495,0.04114104,-0.067688831,-0.058490921,0.142152411,-0.271764365,-0.37381923,-0.866345151,0.020583629,-0.052143564,-0.373224461,-0.12341805,-0.004602098,0.123562459,-0.066054219,-0.016979623,0.012461215,-0.075257067,-1.202407536,0.037129294,-0.10799644,-0.153657807,-0.064775405,-0.030674598,0.02664734,-0.012992161,-0.155890612,-1.728889575,0.049971452,-0.390672777,0.041041601,-0.024069357,-0.061539367,0.09560225,0.278653719,-0.055250181,-0.16644323,-0.772264886,-0.02890037,-0.263260367,-0.374321226,0.072474027,-0.052297706,-0.008792793,-0.051621918,-0.00841399,0.051170032,-0.127922313,0.229035621,0.031234541,-0.391048741,-2.212235046,0.226511834,0.020363348,-0.231589237,-0.840017173,-0.026462187,0.166472658,-0.046498058,-0.002973637,-0.043823156,-1.170140443,0.055262016,0.043545994,0.055003913,-0.001781987,0.080395049,0.070404499,-0.242794993
