Sample_ID,TTC9B,C4orf3,ING5,GNG7,LIN9,RNF167,TCF7,EN2,MAPKAPK3,AHSG,LSM10,DAD1,UAP1L1,PDCD1,REN,ITGB6,RFTN1,ATP5F1C,LRP8,DUSP1,CNIH3,DDX60L,HPS1,IL33,HCFC1R1,STXBP2,UGT2B15,TMEM184C,ATN1,TMEM119,FREM1,AADAC,L3MBTL2,RFLNA,BRCA2,ACTL7B,MRPS6,ZC3H3,POP4,TPO,PCDHA7,COG2,BRICD5,ATXN3L,PYROXD2,GPR68,PKD2L1,ROBO4,ZNF197,TTC1,FAM118A,COL7A1,ZNF10,PGPEP1,SIGIRR,FAM187B,CRIP2,ANXA13,ELOC,RNF148,TNPO1,CCR6,MFSD10,NME8,TCF12,PDCD10,RUNDC3A,MAP3K19,AATF,HOXD8,C1QTNF5,SCGB2A1,HLA-DRB5,TDRD1,ZXDC,STK19,ISX,ARSF,CPEB4,CCR9,DRD2,SLC25A33,NEDD8,SIPA1L1,CTNND2,PCBP4,KANSL3,RCCD1,FABP6,MOB1A,NEUROD4,MAGEB6,ADSL,PDE4D,C11orf49,ENOSF1,AKAP8,FAM199X,FBXL16,MANSC1
ACH-000535,1.35062659,0.856919189,0.87100023,0.851047637,0.892851013,0.857147177,0.893593711,1.440868454,0.889043461,0.852445491,1.135790878,1.070689749,1.158416923,0.87100023,0.911988017,0.856268168,0.829794631,0.84984999,1.135790878,0.863431774,0.892851013,1.212663378,0.869343002,0.752006593,1.151822913,0.851047637,0.889830821,0.476185806,1.098749686,0.810047335,1.018568478,1.157516846,0.881555983,1.072447386,1.138398625,1.141874077,0.834958492,1.150825048,1.35062659,0.534790744,0.863431774,0.892851013,1.151822913,0.481766238,0.869343002,1.092495795,0.869343002,1.122979324,0.835374242,0.863431774,0.863475009,0.843339714,1.072447386,0.876598458,0.855606325,1.35062659,1.128926118,1.115774786,1.191096555,1.598299134,0.935552569,0.437235513,0.853894612,1.123745347,1.154327484,1.172204721,0.863973677,0.897397718,0.857147177,0.893781187,1.155813963,1.137316767,0.852541419,1.160309068,1.101927765,0.852541419,0.881555983,0.481766238,0.863431774,0.835374242,1.28212763,1.148544453,1.105385973,1.134124244,1.418324371,0.882955877,0.875726778,1.159364954,0.863431774,0.875726778,1.053105814,0.481766238,0.881555983,0.911315361,1.143263031,0.873734527,0.851047637,0.824985375,1.151822913,1.15307503
ACH-001402,1.133009152,0.746028136,0.912485244,0.929360328,1.110460107,1.197255372,1.14042886,1.328774384,1.0128588,0.956422206,0.965398166,0.88708806,1.112267058,0.912485244,1.110460107,0.907869144,1.0128588,0.90578838,0.965398166,1.14042886,1.110460107,0.746028136,0.917104032,0.928867466,0.747364678,0.929360328,0.742834001,0.746028136,1.419215124,1.078966963,0.928867466,0.956422206,0.927566882,1.078966963,0.898416128,1.112267058,0.993131926,1.13727968,0.903844183,1.083378288,1.14042886,1.110460107,0.747364678,1.295256556,0.917104032,0.88708806,0.917104032,0.930604232,1.0128588,1.14042886,0.927566882,1.0128588,1.078966963,0.903844183,0.95822054,0.903844183,0.88708806,1.116976196,1.116976196,1.310885537,1.14042886,1.17822395,0.742834001,1.13617563,0.932697972,0.956422206,0.983392206,0.907869144,0.946310273,0.907869144,0.930604232,0.94606256,1.131643619,0.917104032,0.956422206,1.131643619,0.927566882,1.295256556,1.14042886,1.0128588,0.930604232,0.965398166,0.88708806,0.88708806,1.452833591,1.0128588,0.907869144,0.932697972,1.14042886,1.083378288,1.078966963,1.295256556,0.927566882,1.14042886,0.918065949,0.909012012,0.920393248,1.144607633,0.747364678,1.419215124
ACH-000862,0.927944444,0.69666492,0.92335285,0.919136012,0.932257633,0.678852104,0.938625704,1.124047849,0.672119343,1.162027878,0.932257633,1.382790716,1.207380937,0.92335285,0.932257633,0.92335285,0.649667108,0.684387901,0.932257633,0.938625704,0.932257633,1.115724163,0.684387901,1.226310403,1.110918106,0.919136012,0.69666492,1.115724163,1.038520408,1.019515738,1.226310403,1.162027878,0.795237265,1.019515738,0.922163094,1.207380937,1.006653271,0.938197721,0.927944444,0.92335285,0.938625704,0.932257633,1.110918106,0.673409991,0.684387901,1.369851692,0.684387901,1.113099749,0.672119343,0.938625704,0.795237265,0.672119343,0.665666761,0.927944444,1.115982143,0.927944444,1.02194592,0.938197721,0.938197721,1.124047849,0.934396923,0.677862903,1.103187133,1.124047849,1.112915328,1.162027878,1.020555381,0.92335285,1.020555381,0.92335285,1.113099749,1.115982143,1.121432641,0.684387901,1.162027878,1.121432641,0.795237265,0.673409991,0.938625704,0.672119343,1.113099749,0.919957059,1.382790716,1.369851692,0.934396923,0.672119343,0.92335285,1.27576828,0.938625704,0.92335285,1.038520408,0.673409991,0.795237265,0.934396923,1.115982143,1.10824598,0.919136012,0.668300945,1.110918106,1.038520408
ACH-000545,1.152678833,0.945872597,0.879584231,0.856492895,1.127728701,0.870528508,0.957215352,0.86981652,0.867664571,1.039254423,1.047281764,1.102842942,1.187644419,0.879584231,1.089975783,0.94808457,0.978867576,0.914626799,1.047281764,0.905540821,1.127728701,1.318711789,1.127117024,0.977347185,0.895578886,0.856492895,0.956765878,0.945872597,0.913141167,1.089014228,0.977347185,1.306509781,1.050139077,0.89883337,0.911154276,1.314502984,0.911431036,1.351509404,1.152678833,1.013842781,0.957215352,1.127728701,0.895578886,0.707929022,1.127117024,0.991295419,1.127117024,0.952642239,0.867664571,0.957215352,1.050139077,0.867664571,1.0830752,0.856492895,0.820129597,1.152678833,0.991295419,1.457548735,1.141579908,0.947538938,0.933210379,0.663671417,0.885645803,1.34200836,1.088600415,1.319180941,1.066252698,0.945188473,1.066252698,0.94808457,0.90065557,1.059734122,0.897027256,1.127117024,0.925211965,0.897027256,1.050139077,0.665300564,0.905540821,0.867664571,0.90065557,1.038927922,1.102842942,1.073453673,1.321650612,0.867664571,1.063674987,1.373733869,0.957215352,1.010694849,1.090330015,0.704552486,1.050139077,0.767064544,0.906965301,0.944058971,0.856492895,0.72285783,0.895578886,0.952333919
ACH-000851,0.90085433,0.901172506,0.872328484,0.878927084,1.262013931,0.879940791,0.894613165,0.913986536,0.888089274,0.875435145,0.89473147,0.907942937,1.204829705,0.872328484,1.262013931,1.158020083,0.8953375,1.394107328,0.89473147,1.207131497,1.262013931,0.901172506,1.162352586,0.510874019,0.881052233,0.878927084,0.901172506,0.901172506,1.180143724,0.872611648,0.510874019,1.19757682,0.881241915,0.872611648,0.894898318,1.204829705,1.074949061,1.388435674,0.881561013,1.172515139,0.894613165,1.262013931,0.881052233,0.481486098,1.162352586,0.879489744,1.162352586,0.891454989,0.888089274,0.894613165,0.881241915,0.888089274,0.872611648,0.881561013,0.909813943,0.881561013,0.879489744,1.524479984,1.379800041,0.889840948,1.177355745,0.876921799,0.901172506,1.257089784,1.006503593,0.875435145,0.872494109,0.880513059,1.180021933,1.158020083,0.891454989,0.891454989,1.194070956,1.162352586,1.19757682,1.194070956,0.881241915,0.481486098,1.207131497,0.888089274,0.891454989,0.89473147,0.910121289,0.879489744,1.770699009,0.888089274,0.880513059,1.605897722,0.894613165,1.173703342,1.171210962,0.481486098,0.881241915,0.902386495,0.891454989,0.506747734,0.881561013,0.596222929,0.881052233,1.197755051
ACH-000485,0.913138822,0.88941614,0.893608486,0.911936478,0.900835753,0.898310449,0.890060083,1.255667082,0.966969006,1.465978128,0.903342432,1.420194519,1.08363601,0.893608486,0.900835753,0.896370884,1.473437797,0.88913087,0.900835753,0.903555582,0.900835753,0.88941614,1.097061758,1.079472083,0.899337956,0.911936478,0.88941614,0.88941614,1.096513873,1.096513873,1.079472083,1.465978128,0.895172442,2.900783699,0.88949069,1.08363601,0.89637181,1.094378391,0.913138822,0.851861175,0.890060083,0.900835753,0.899337956,0.65340246,1.097061758,1.264161821,1.097061758,1.093621479,1.472300988,0.903555582,0.895172442,0.98311004,0.965609427,0.913138822,1.101425781,0.913138822,1.264161821,1.094378391,1.094378391,1.255667082,0.891048055,0.660397941,0.883956001,1.255667082,1.097911366,1.465978128,1.181770802,0.88901126,1.181770802,0.896370884,1.093621479,1.101425781,0.967220077,1.097061758,1.465978128,0.967220077,0.895172442,0.65340246,0.903555582,1.472300988,1.093621479,0.890387937,1.420194519,1.086269456,0.891048055,0.966969006,0.88901126,1.097911366,0.903555582,0.90043502,1.096513873,0.65340246,0.895172442,0.891048055,1.101425781,0.934387865,0.911936478,0.65340246,0.899337956,1.096513873
ACH-002459,1.091312512,0.8429414,1.052210329,1.015554457,1.272110462,0.806695765,1.081667168,1.060040596,1.046653257,1.132437465,0.82670087,1.079757106,1.102643622,1.052210329,1.099171939,1.115800637,1.303018265,0.823045555,0.82670087,1.081667168,1.272110462,0.8429414,0.823045555,0.827578379,1.110124607,1.067974037,0.822926005,0.8429414,1.08283182,1.066836896,0.827578379,1.132437465,1.041677643,1.066836896,0.924708368,1.102643622,0.823220774,1.074263151,1.140038306,1.083837781,1.081667168,1.254234937,1.110124607,0.43408875,0.823045555,1.079757106,0.823045555,0.820982402,1.046653257,1.081667168,1.047326667,1.046653257,1.066836896,1.072197749,1.112509996,1.053227565,1.076235017,1.074263151,1.074263151,1.060040596,1.081667168,0.837240842,0.822926005,1.13647052,0.942542303,1.132437465,1.093703851,1.062995504,1.093703851,1.02885389,0.820982402,1.112509996,1.081165577,0.823045555,1.167981553,1.515244232,1.041677643,0.43408875,1.081667168,1.046653257,0.820982402,0.830583961,1.079757106,1.079757106,1.270222245,1.046653257,1.083837781,0.919237318,1.081667168,1.083837781,1.066836896,0.43408875,1.041677643,1.081667168,1.112509996,0.857311141,1.072197749,0.43408875,0.810413448,1.08283182
ACH-001511,0.862335215,0.892095387,0.670777836,0.633645643,0.890183018,1.072601593,0.905525904,0.857174951,0.647027847,1.043738554,0.894286959,1.078664705,1.336978509,0.670777836,0.890183018,0.973466084,0.647027847,0.617128399,0.894286959,0.886244624,0.890183018,0.892095387,1.026855901,0.645215606,1.312622702,0.621587712,1.073986752,0.892095387,1.323251799,1.075781898,0.645215606,1.043738554,0.817514569,1.075781898,0.660233041,1.336978509,1.062778632,1.420187629,0.834882479,0.978329244,0.886244624,0.839561321,1.223609673,1.544750022,1.026855901,1.078664705,1.026855901,1.073730802,0.647027847,0.886244624,0.817514569,0.647027847,1.075781898,0.869519531,1.073730802,1.030667682,1.084776186,1.420187629,1.05440516,0.857174951,0.861650158,1.268297761,0.878126212,1.241803273,1.012848711,1.043738554,0.652617573,0.973466084,0.649007491,0.973466084,1.073730802,1.073730802,1.292696586,1.026855901,1.043738554,1.01317759,0.908886741,1.544750022,0.886244624,0.647027847,1.073730802,0.894286959,1.078664705,1.078664705,2.005032795,0.647027847,0.978329244,1.012848711,0.886244624,0.978329244,1.048726032,1.268695498,0.817514569,0.878793873,1.073730802,0.631083754,1.051367109,1.437791055,1.306662882,1.323251799
ACH-001151,1.088932093,0.894505498,1.159071711,1.088932093,0.879381573,0.868457133,1.401499255,1.109231164,0.912490868,1.455259305,0.861221244,1.167325159,0.841318155,1.159071711,1.10817253,1.158400364,0.925560432,0.874306132,0.875895147,1.38498843,0.879381573,0.762794086,0.874306132,1.174730778,1.129033585,1.088932093,0.865208906,0.894505498,0.892416402,0.843761192,0.53834358,0.936215031,1.675986356,1.163890083,0.939802293,0.885238038,0.875597104,1.395073358,1.088932093,1.19778551,1.38498843,0.879381573,1.129033585,0.510511213,0.874306132,1.377121331,0.874306132,1.16846665,0.912490868,1.38498843,0.852793098,0.912490868,0.829528729,1.088932093,1.155906013,1.088932093,1.333718511,1.413421421,1.430600222,1.244916024,0.829575082,0.87296933,0.8483779,1.306942901,1.187572054,1.494162518,1.166412821,1.214980193,1.403968998,1.145267721,1.16846665,1.157324859,0.877718227,0.874306132,0.916762075,0.877718227,0.818746385,0.510511213,1.38498843,0.912490868,1.16846665,0.856275777,1.33797498,1.34468399,1.15773865,0.924721145,1.186184764,1.190903789,1.38498843,1.186184764,0.860086768,0.510511213,0.895348135,0.887686668,1.140465468,1.234937895,1.088932093,0.510511213,1.129033585,0.896611544
ACH-001433,1.031629291,0.879014683,0.886841902,1.031629291,1.070707038,0.625637385,1.07570096,1.069539662,1.062778632,1.062778632,1.057391499,0.871604088,1.049615366,0.886841902,1.070707038,0.886811136,1.062778632,1.051471128,1.057391499,1.07570096,1.070707038,0.879014683,1.051471128,1.049615366,1.043593865,1.031629291,0.879014683,0.879014683,0.618915179,1.046816294,1.049615366,1.062778632,0.846279118,1.046816294,1.070433054,1.049615366,0.639042936,1.413900522,1.031629291,0.886811136,1.07570096,1.070707038,1.043593865,1.00616361,1.051471128,0.871604088,1.051471128,1.062755695,1.062778632,1.07570096,0.846279118,1.062778632,1.046816294,1.031629291,1.062755695,1.031629291,0.849275879,1.413900522,1.400918878,1.061926032,1.07570096,0.879793315,0.879014683,1.664964766,1.061130134,1.062778632,1.061622835,0.886811136,1.061622835,0.886811136,1.062755695,1.062755695,0.876478251,1.051471128,1.062778632,0.876478251,0.846279118,1.00616361,1.07570096,1.062778632,1.062755695,1.053602723,0.871604088,0.871604088,1.07570096,1.062778632,0.886811136,1.222297853,1.07570096,0.886811136,1.046816294,1.00616361,0.846279118,1.07570096,1.062755695,1.058607082,1.031629291,0.598512133,1.043593865,0.618915179
