Sample_ID,TTC9B,C4orf3,ING5,GNG7,LIN9,RNF167,TCF7,EN2,MAPKAPK3,AHSG,LSM10,DAD1,UAP1L1,PDCD1,REN,ITGB6,RFTN1,ATP5F1C,LRP8,DUSP1,CNIH3,DDX60L,HPS1,IL33,HCFC1R1,STXBP2,UGT2B15,TMEM184C,ATN1,TMEM119,FREM1,AADAC,L3MBTL2,RFLNA,BRCA2,ACTL7B,MRPS6,ZC3H3,POP4,TPO,PCDHA7,COG2,BRICD5,ATXN3L,PYROXD2,GPR68,PKD2L1,ROBO4,ZNF197,TTC1,FAM118A,COL7A1,ZNF10,PGPEP1,SIGIRR,FAM187B,CRIP2,ANXA13,ELOC,RNF148,TNPO1,CCR6,MFSD10,NME8,TCF12,PDCD10,RUNDC3A,MAP3K19,AATF,HOXD8,C1QTNF5,SCGB2A1,HLA-DRB5,TDRD1,ZXDC,STK19,ISX,ARSF,CPEB4,CCR9,DRD2,SLC25A33,NEDD8,SIPA1L1,CTNND2,PCBP4,KANSL3,RCCD1,FABP6,MOB1A,NEUROD4,MAGEB6,ADSL,PDE4D,C11orf49,ENOSF1,AKAP8,FAM199X,FBXL16,MANSC1
ACH-000535,0.201633861,4.937815169,3.645009884,0.028569152,2.17951105,7.073498932,1.510961919,1.286881148,5.194165869,0.056583528,5.567423758,7.876639724,1.464668267,0.028569152,0.475084883,3.787641414,0.201633861,8.307565138,4.618238656,3.635754391,1.14404637,4.371558863,5.551208374,1.367371066,4.959770155,5.918386234,0.0,2.63691458,5.732540561,0.042644337,0.042644337,3.35614381,3.434294618,0.23878686,2.646162657,0.014355293,5.623223076,3.638073837,7.126394738,0.0,0.0,3.08236197,1.695993813,0.0,2.321928095,0.333423734,0.0,0.124328135,2.313245852,5.131342539,3.209453366,5.743891911,1.627606838,2.451540833,4.754887502,0.0,6.533874777,0.0,6.845866357,0.028569152,5.258141996,0.084064265,5.655638049,0.150559677,4.357552005,5.829342194,0.286881148,0.028569152,5.300123725,0.056583528,0.056583528,0.22650853,0.111031312,0.0,3.599317794,4.145677455,0.014355293,0.0,2.0,0.0,0.084064265,2.003602237,8.684573313,4.600507645,0.0,3.550900665,3.528571319,4.01346226,1.169925001,5.471837762,0.0,0.485426827,5.22650853,2.244887059,4.527946099,3.787641414,3.785550552,4.21490191,1.541019153,4.312519967
ACH-001402,0.163498732,5.816855662,4.177120503,0.014355293,4.245647774,7.154514352,3.840966704,1.659924558,5.167518504,0.0,5.420886575,7.576673293,1.545968369,0.0,0.028569152,0.028569152,0.35614381,8.726695004,3.776103988,6.225159226,0.286881148,1.891419187,3.922197848,0.545968369,5.376776572,5.189033824,0.0,3.803227036,6.884720013,0.0,0.0,0.475084883,4.687620632,0.014355293,2.587364991,0.014355293,6.549053029,3.35473424,6.900021467,0.0,0.0,4.146492307,2.424922088,0.0,1.475084883,0.50589093,0.0,0.604071324,3.042644337,6.307792796,2.875780063,7.690207549,2.769771739,2.44625623,4.003602237,0.0,3.869871406,0.0,7.38767272,0.014355293,6.415826257,0.0,4.851499202,0.0,4.931683057,6.275379596,0.389566812,0.0,6.032762074,2.885574364,0.0,0.0,0.333423734,0.0,3.300123725,4.284662185,0.014355293,0.0,3.760220946,0.0,0.839959587,2.969012308,8.3369528,5.330199833,0.0,3.862947248,3.713695815,3.793895883,0.0,7.093285504,0.0,0.0,6.21159632,5.018812186,5.459431619,3.992768431,4.107687869,5.423914268,0.970853654,3.963474124
ACH-000862,0.333423734,5.053980168,5.182295025,0.042644337,2.46727948,6.987889281,3.152183419,0.014355293,4.268284667,0.124328135,4.575312331,8.62058641,2.817623258,0.0,6.445428759,3.71918344,0.695993813,7.970623614,1.613531653,4.529196268,0.659924558,5.143230135,4.479618608,0.097610797,6.439955517,6.41987593,0.014355293,5.088735246,6.382667253,0.042644337,0.028569152,2.066950244,3.397802962,0.163498732,3.061776198,0.0,5.432291338,3.656496371,6.028127082,0.028569152,0.111031312,4.169925001,3.632268215,0.0,3.434294618,2.021479727,0.014355293,0.014355293,2.689299161,5.250582665,4.693765712,5.054414388,2.422233001,3.304511042,5.890203467,0.0,2.397802962,0.028569152,6.282069075,0.263034406,6.076388069,0.0,6.118733476,0.0,5.970393538,6.328226119,0.641546029,0.014355293,5.584060534,1.66448284,0.176322773,0.124328135,0.422233001,0.014355293,5.110196178,5.806324057,0.014355293,0.475084883,4.337711092,0.0,0.464668267,2.003602237,8.43970624,5.637204482,0.014355293,2.107687869,5.142004916,4.62058641,0.0,5.580748492,0.0,0.263034406,5.613826291,2.700439718,4.684818738,5.666756592,4.393690764,4.798569004,2.073820233,3.69265037
ACH-000545,0.0,5.197708158,5.255878353,0.042644337,3.300123725,6.69543711,3.414135533,0.028569152,3.815575429,0.0,3.504620392,8.403778984,0.545968369,0.0,0.070389328,6.874796966,3.614709844,7.96208625,5.827310944,2.324810603,0.250961574,4.336283388,4.768713657,2.438292852,5.458447627,6.292413668,0.0,4.384049807,5.169524197,0.111031312,0.028569152,0.0,3.568032105,0.0,3.726831217,0.0,4.087462841,3.707082992,5.896029603,0.0,0.0,4.241077458,3.545968369,0.0,4.880195729,2.843983844,0.0,0.0,3.438292852,4.709842019,3.780310099,7.75828985,1.622930351,2.545968369,5.426264755,0.0,4.98550043,0.23878686,6.363521544,0.0,5.936402378,0.0,6.386121157,0.0,4.963936452,6.898933872,0.650764559,0.0,4.72955277,1.918386234,0.0,0.0,0.695993813,0.070389328,3.695993813,4.881664619,0.056583528,0.0,1.475084883,0.0,0.0,0.97819563,7.795844856,5.147713722,0.056583528,2.464668267,4.165911939,5.524815928,0.333423734,5.813524689,0.0,0.0,5.213736096,0.422233001,5.155425432,5.732811872,3.518535139,4.432291338,0.163498732,3.107687869
ACH-000851,0.263034406,4.546585829,4.616475329,2.310340121,3.6622055,6.04679661,2.869871406,0.0,4.237257771,0.137503524,5.356495988,7.637856547,2.707082992,0.097610797,0.137503524,0.933572638,0.070389328,8.978424465,4.493134922,6.751142325,1.269033146,0.189033824,3.948600847,0.0,5.243364426,5.931210275,0.0,3.099295204,5.780310099,0.0,0.028569152,0.056583528,3.282439805,0.0,2.358958826,0.0,4.966707314,3.125981654,5.646162657,0.111031312,0.028569152,4.554588852,2.565597176,0.0,2.956056652,0.214124805,0.028569152,0.0,2.150559677,5.006298024,4.096767855,3.889473543,1.959770155,2.533563348,5.553360503,0.0,2.833902077,0.014355293,6.803743669,0.189033824,4.839959587,0.0,5.393004257,0.0,4.516015147,5.230741003,0.411426246,0.0,5.8928767,0.0,0.0,0.0,0.070389328,0.014355293,4.168321116,4.787641414,0.014355293,0.0,4.5360529,0.0,0.042644337,2.220329955,7.567956075,3.285402219,0.084064265,3.874796966,3.552131108,6.402074074,0.485426827,5.390942773,0.0,0.097610797,5.369117459,4.868390453,2.739848103,4.121844298,4.000901403,3.397802962,1.22650853,4.436961338
ACH-000485,0.378511623,4.921721947,3.824767853,0.163498732,2.207892852,5.650764559,4.947666157,0.014355293,5.13093087,0.070389328,4.418864577,8.15704371,3.283921772,0.014355293,0.0,2.948600847,0.124328135,8.510408147,3.454175893,4.955591792,0.35614381,2.513490746,5.467931546,5.469560422,3.266036894,6.087887101,0.097610797,3.781359714,5.374343989,0.0,0.014355293,3.097610797,3.135863165,2.845991771,1.0,0.0,4.170726276,2.875780063,5.663913842,0.0,0.0,3.715893371,1.469885976,0.0,2.049630768,0.163498732,0.042644337,0.0,3.868884273,5.189033824,3.326249701,0.659924558,2.726831217,4.761285273,5.412442825,0.0,6.793115555,5.309612772,5.668743189,0.201633861,5.116863758,0.739848103,6.637349411,0.014355293,5.526068812,6.740252994,0.070389328,0.0,5.644721547,0.0,0.028569152,0.163498732,0.084064265,0.0,3.988230223,3.966245873,0.298658316,0.0,2.097610797,0.0,0.014355293,1.761285273,8.234865321,4.185073638,0.0,4.070389328,3.214124805,3.346247774,0.097610797,5.169123281,0.0,0.0,5.408032466,1.3950628,4.379898164,5.45318831,3.950468414,3.809414444,4.28169825,5.517590658
ACH-002459,0.111031312,5.029452886,4.085764554,0.757023247,2.014355293,6.161283075,2.097610797,0.790772038,5.121015401,0.0,4.044394119,8.065712318,4.14974712,0.0,0.056583528,0.056583528,5.897482468,7.138323004,3.866907978,3.349082146,3.300123725,3.331991778,3.794935663,0.422233001,6.053980168,0.98550043,0.0,4.076388069,5.6395216,0.028569152,0.070389328,0.150559677,4.122672719,0.604071324,1.807354922,0.028569152,4.328405659,2.283921772,5.685099172,0.0,0.604071324,3.949534933,2.646162657,0.0,1.778208576,3.784503983,0.0,1.687060688,3.776103988,5.12763328,3.893362211,2.910732662,2.424922088,3.842978832,3.14404637,0.0,5.619413011,0.0,5.986410935,0.014355293,5.742545234,0.0,5.244125943,1.097610797,3.811471031,5.461724992,0.097610797,0.0,5.545968369,2.247927513,0.0,0.0,4.344828497,0.0,3.468583317,4.474436043,0.0,0.0,3.13093087,0.0,1.989139007,0.871843649,8.310067408,5.012121673,0.042644337,5.680324357,4.426264755,3.592158002,0.925999419,4.970853654,0.0,0.0,6.278542382,2.618238656,4.230356745,3.844988157,4.048759312,3.044394119,0.250961574,3.005399988
ACH-001511,0.0,5.841973119,3.289834465,0.555816155,1.682573297,6.74993645,1.673556424,0.963474124,4.111031312,0.111031312,4.825785627,8.621941965,2.321928095,0.056583528,0.014355293,6.212958363,0.887525271,7.139551352,1.782408565,4.901108243,2.15704371,4.955591792,4.418189948,0.137503524,5.996388746,4.919340082,0.028569152,3.451540833,4.634593268,0.0,0.014355293,0.070389328,3.301587647,2.153805336,1.207892852,0.0,6.526851312,3.764473551,6.341985747,0.0,0.0,3.023255352,3.426264755,0.042644337,2.961623328,0.163498732,0.028569152,0.731183242,2.462052319,5.545968369,2.792855352,6.076601849,2.632268215,2.324810603,3.748461233,0.0,5.767919586,0.014355293,6.913009057,0.070389328,5.063502942,0.0,4.790772038,0.0,3.039138394,5.751677946,0.443606651,0.0,4.510961919,1.321928095,0.163498732,0.516015147,0.310340121,0.0,2.961623328,5.431288654,0.0,0.0,2.263034406,0.0,0.659924558,2.056583528,8.382364642,4.075532631,0.176322773,3.166715445,3.9800253,3.263034406,1.831877241,5.04220656,0.0,0.565597176,4.462706751,0.807354922,4.278728213,2.680324357,3.269033146,3.543495883,2.548436625,1.454175893
ACH-001151,0.097610797,5.289834465,4.676380255,1.704871964,2.40599236,5.77452353,3.75595577,0.0,5.663059924,0.124328135,4.994579724,9.554608036,3.129283017,0.056583528,0.422233001,1.372952098,0.056583528,8.274354856,4.089159132,7.852810375,1.580145484,2.961623328,4.685379552,0.014355293,6.567271631,5.912170803,0.014355293,4.584962501,4.006298024,0.014355293,0.084064265,1.23878686,4.912649865,0.333423734,2.543495883,0.0,6.87835751,2.682573297,6.06995989,0.124328135,0.0,3.703765179,2.440952198,0.0,3.871843649,0.310340121,0.0,0.839959587,2.82374936,6.798569004,3.582556003,3.165107985,0.070389328,3.787641414,5.421559945,0.0,4.28169825,0.137503524,7.390512926,0.028569152,4.917909074,0.0,4.723558561,0.014355293,4.574101508,6.736334277,0.333423734,0.0,6.324270572,0.0,0.321928095,0.82374936,1.176322773,0.0,2.66448284,3.508428653,0.014355293,0.0,3.187451054,0.042644337,0.321928095,2.087462841,9.195544459,3.730096466,0.0,3.507160349,4.23878686,4.658211483,1.941106311,5.184677021,0.0,0.014355293,6.287435356,1.124328135,4.531069493,5.503984704,3.758089934,3.314696526,3.255500733,2.277984747
ACH-001433,0.0,5.665620164,3.331991778,0.111031312,2.765534746,5.705148528,0.5360529,0.0,3.051372102,0.150559677,5.581953751,8.615813525,1.432959407,0.137503524,0.056583528,0.35614381,3.948600847,8.117175546,2.459431619,6.78633498,1.815575429,3.323370069,4.204766751,4.172327492,7.384740587,3.021479727,0.0,3.153805336,4.167518504,0.963474124,0.0,0.150559677,3.565597176,0.042644337,2.028569152,0.0,4.760220946,3.061776198,6.054414388,0.028569152,0.176322773,3.499527024,2.087462841,0.014355293,0.056583528,0.137503524,0.084064265,2.15704371,3.148934105,5.266036894,2.555816155,1.137503524,2.150559677,1.389566812,5.952799478,0.0,7.161182282,0.0,7.339048283,0.0,4.358255587,0.042644337,3.988230223,0.0,4.404630684,5.530757457,2.707082992,0.0,5.331991778,3.249445341,1.182692298,0.0,0.176322773,0.0,2.572889668,3.257010618,0.0,0.0,0.333423734,0.028569152,0.097610797,2.451540833,8.450922544,3.001802243,0.0,5.21800615,3.044394119,3.837943242,0.516015147,4.928370323,0.0,0.0,5.72628629,0.575312331,4.35473424,3.607626221,3.303050085,3.204766751,2.111031312,2.039138394
